app_id,wit_list,rdg_text,lem_text,feature,variant_likelihood,reason,inference_rule,band,orthography_guess,curator_label,curator_note
app-Y1.3-0-0,#ms0015,,ńiuuaēδaiiemi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-1-2,#ms0008,,haṇkāraiiemi. asńiiaēibiiō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-1-2,#ms0008,haṇkāraiiemi asniiaēibiiō.,haṇkāraiiemi. asńiiaēibiiō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-2-2,#ms0005,,asńiiaēibiiō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-11-11,#ms0008,,sāuuaŋhə̄e.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-11-11,#ms0008,sāuuaŋᵛhə̄e.,sāuuaŋhə̄e.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-16-16,#ms0005,ńiuuaēδaiiami.,ńiuuaēδaiiemi.,ńiuuaēδaiiami→ńiuuaēδaiiemi,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-16-16,#ms0005 #ms0015,,ńiuuaēδaiiemi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-16-16,#ms0015,haṇaēδaiiemi.,ńiuuaēδaiiemi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-19-19,#ms0008 #ms0015,,vouru.gaōiiaōtōiš.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-19-19,#ms0008 #ms0015,gaōiiaōitōiš.,vouru.gaōiiaōtōiš.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-19-20,#ms0005,,vouru.gaōiiaōtōiš. hazaŋhrō.gaōšahe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-19-20,#ms0005,vaōuru.gaōiiōitōiš. hazaŋrō.gaōšahe.,vouru.gaōiiaōtōiš. hazaŋhrō.gaōšahe.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-20-20,#ms0006,,hazaŋhrō.gaōšahe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-20-20,#ms0006,hazaŋrō.gaōṣ̌ahe.,hazaŋhrō.gaōšahe.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-22-22,#ms0008,nāmanō.,aōxtō.nāmanō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-22-22,#ms0008 #ms0015,,aōxtō.nāmanō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.3-22-22,#ms0015,aōxtōnamanō.,aōxtō.nāmanō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.4-3-3,#ms0005,rapiϑβinəāi.,rapiϑβināi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.4-3-3,#ms0005 #ms0008,,rapiϑβināi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.4-3-3,#ms0008,rapiϑuuiənāi.,rapiϑβināi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.4-9-9,#ms0005,,frādat̰.fšauue.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.4-9-9,#ms0005,frādat̰.fšuue.,frādat̰.fšauue.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.4-10-10,#ms0006,,zaṇtumāica.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.4-10-10,#ms0006,zaṇtāmuica.,zaṇtumāica.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.4-12-12,#ms0008,,aṣ̌ahe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.4-18-18,#ms0005,,āϑrasca.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.4-18-18,#ms0005,ātrasca.,āϑrasca.,ātrasca→āϑrasca,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.4-20-20,#ms0006,,mazdā̊.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.5-2-2,#ms0005,uziieirənāi.,uzaiieirināi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.5-2-2,#ms0005 #ms0015,,uzaiieirināi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.5-2-2,#ms0015,uzaiieirənāi.,uzaiieirināi.,uzaiieirənāi→uzaiieirināi,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.5-16-16,#ms0006,,ahurahe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.5-16-16,#ms0006,rahe.,ahurahe.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.5-18-18,#ms0005,,apąm.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.5-18-18,#ms0005,ąm.,apąm.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-2-2,#ms0006,,aiβisrūϑrimāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-2-2,#ms0006,ϑrəmāi.,aiβisrūϑrimāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-2-3,#ms0008,aiβisrīϑrəmāi. aibigiiāi.,aiβisrūϑrimāi. aibigaiiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-2-3,#ms0008 #ms0015,,aiβisrūϑrimāi. aibigaiiāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-2-3,#ms0015,aiβisrīϑrəmāi. aibigaiiiiāi.,aiβisrūϑrimāi. aibigaiiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-5-5,#ms0005,e.,aṣ̌ahe.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-5-5,#ms0005 #ms0008,,aṣ̌ahe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-9-10,#ms0005,ujiiātə̄e. zaraϑuštrōtəmāica.,frādat̰.vīspąm.hujiiātə̄e. zaraϑuštrō.təmāica.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-9-10,#ms0005 #ms0006,,frādat̰.vīspąm.hujiiātə̄e. zaraϑuštrō.təmāica.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-9-10,#ms0006,īspąm.hujiiātə̄e. zaraϑuštrōtəmāica.,frādat̰.vīspąm.hujiiātə̄e. zaraϑuštrō.təmāica.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-10-10,#ms0008,zaraϑuštrōtimāica.,zaraϑuštrō.təmāica.,zaraϑuštrōtimāica→zaraϑuštrō.təmāica,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-10-10,#ms0008 #ms0015,,zaraϑuštrō.təmāica.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-16-16,#ms0005,šanąm.,aṣ̌āunąm.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-16-16,#ms0005 #ms0006,,aṣ̌āunąm.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-16-16,#ms0006,ąm.,aṣ̌āunąm.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-16-19,#ms0015,,aṣ̌āunąm. frauuaṣ̌inąm. γə̄nąnąmca. vīrō.vąϑβanąm.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-16-19,#ms0015,aṣ̌aōnąm. frauuašanąm. γə̄nąnąmca vąϑβanąm.,aṣ̌āunąm. frauuaṣ̌inąm. γə̄nąnąmca. vīrō.vąϑβanąm.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-17-17,#ms0008,,frauuaṣ̌inąm.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-17-17,#ms0008,frauuašanąm.,frauuaṣ̌inąm.,frauuašanąm→frauuaṣ̌inąm,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-19-19,#ms0008,,vīrō.vąϑβanąm.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-19-19,#ms0008,vąϑβanąm.,vīrō.vąϑβanąm.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-20-20,#ms0006,,yāiriiaiiā̊sca.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-20-20,#ms0006,yāiriiaiiusca.,yāiriiaiiā̊sca.,yāiriiaiiusca→yāiriiaiiā̊sca,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-24-24,#ms0006,,huraōδahe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-24-24,#ms0006,hurōδahe.,huraōδahe.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-27-27,#ms0006,vanaṇtaiiasca.,vanaiṇtiiā̊sca.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-27-27,#ms0006 #ms0008 #ms0015,,vanaiṇtiiā̊sca.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.6-27-27,#ms0008 #ms0015,vanaiṇtaiiā̊sca.,vanaiṇtiiā̊sca.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-2-2,#ms0005,,ušahināi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-2-2,#ms0005,šahināi.,ušahināi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-3-3,#ms0006,,aṣ̌aōne.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-3-3,#ms0006,ṣ̌aōne.,aṣ̌aōne.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-6-6,#ms0005,,ńiuuaēδaiiemi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-6-6,#ms0005,aē.,ńiuuaēδaiiemi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-8-8,#ms0006,,bərəjiiāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-8-8,#ms0006,iiāi.,bərəjiiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-9-9,#ms0015,,nmāńiiāica.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-11-11,#ms0005,,aṣ̌ahe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-11-11,#ms0005,ṣ̌ahe.,aṣ̌ahe.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-15-18,#ms0015,,sraōšahe. aṣ̌iiehe. aṣ̌iuuatō. vərəϑrājanō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-15-18,#ms0015,sraōšahe aṣ̌aiiehe. aṣ̌auuatō. vərəϑrājanō,sraōšahe. aṣ̌iiehe. aṣ̌iuuatō. vərəϑrājanō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-16-16,#ms0006,,aṣ̌iiehe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-16-16,#ms0006,iiehe.,aṣ̌iiehe.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-16-17,#ms0008,,aṣ̌iiehe. aṣ̌iuuatō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-16-17,#ms0008,aṣ̌aiiehe. aṣ̌iauuatō.,aṣ̌iiehe. aṣ̌iuuatō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-20-20,#ms0005 #ms0006 #ms0008 #ms0015,,rašnaōš.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-20-20,#ms0005 #ms0008,rašnōiš.,rašnaōš.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-20-20,#ms0006,rašnaōiš.,rašnaōš.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-20-20,#ms0015,raṣ̌nōiš.,rašnaōš.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-22-22,#ms0005 #ms0006,,arštātasca.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-22-22,#ms0005 #ms0006,arəštātasca.,arštātasca.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-22-24,#ms0008 #ms0015,,arštātasca. frādat̰.gaēϑaiiā̊. varədat̰.gaēϑaiiā̊.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-22-24,#ms0008 #ms0015,arəštātasca. gaēϑaiiā̊. gaēϑaiiā̊.,arštātasca. frādat̰.gaēϑaiiā̊. varədat̰.gaēϑaiiā̊.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-24-24,#ms0005,gaēϑaiiā̊.,varədat̰.gaēϑaiiā̊.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-24-24,#ms0005 #ms0006,,varədat̰.gaēϑaiiā̊.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.7-24-24,#ms0006,vərədat̰.gaēϑaiiā̊.,varədat̰.gaēϑaiiā̊.,vərədat̰.gaēϑaiiā̊→varədat̰.gaēϑaiiā̊,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.8-2-2,#ms0015,,māhiiaēibiiō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.8-2-2,#ms0015,aēibiiō.,māhiiaēibiiō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.8-3-3,#ms0005,,aṣ̌ahe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.8-3-3,#ms0005,ṣ̌ahe.,aṣ̌ahe.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.8-5-5,#ms0005 #ms0006 #ms0008 #ms0015,,aṇtarə.mā̊ŋhāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.8-5-5,#ms0015,mā̊ŋhāi.,aṇtarə.mā̊ŋhāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.8-11-11,#ms0006,,pərənō.mā̊ŋhāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-2-2,#ms0006,āiriiaēibiiō.,yāiriiaēibiiō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-2-2,#ms0006 #ms0015,,yāiriiaēibiiō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-2-2,#ms0015,aēibiiō.,yāiriiaēibiiō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-3-3,#ms0005,,aṣ̌ahe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-3-3,#ms0005,ṣ̌ahe.,aṣ̌ahe.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-5-5,#ms0006,maiδiiōizaramiiāi.,maiδiiōizarəmaiiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-5-5,#ms0006 #ms0008 #ms0015,,maiδiiōizarəmaiiāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-5-5,#ms0008,maiδiiōzarəmaiiāi.,maiδiiōizarəmaiiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-5-5,#ms0015,maiδiiōizarəmiiāi.,maiδiiōizarəmaiiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-7-7,#ms0006,,aṣ̌ahe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-11-11,#ms0008,,maiδiiōišəmāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-11-11,#ms0008,maiδiiōšmāi.,maiδiiōišəmāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-12-12,#ms0006,,aṣ̌aōne.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-12-12,#ms0006,aōne.,aṣ̌aōne.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-14-14,#ms0015,,raϑβe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-14-14,#ms0015,ϑβe.,raϑβe.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-17-17,#ms0008,,paitišhahiiāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-17-17,#ms0008,paitišahiiāi.,paitišhahiiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-23-23,#ms0006,,aiiāϑrimāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-23-23,#ms0006,rəmāi.,aiiāϑrimāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-23-24,#ms0008,,aiiāϑrimāi. fraōuruuaēštrimāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-23-24,#ms0008,aiiāϑrəmāi. fraōuruuaēštrəmāi.,aiiāϑrimāi. fraōuruuaēštrimāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-24-25,#ms0015,,fraōuruuaēštrimāi. varšni.harštāica.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-24-25,#ms0015,ōuruuaēštrəmāi. harəštāica,fraōuruuaēštrimāi. varšni.harštāica.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-25-25,#ms0006,,varšni.harštāica.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-25-25,#ms0006,varəšni.harəštāica.,varšni.harštāica.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-31-31,#ms0006,δiiāiriiāi.,maiδiiāiriiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-31-31,#ms0006 #ms0015,,maiδiiāiriiāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-31-31,#ms0015,iriiāi.,maiδiiāiriiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-37-37,#ms0005,maspaϑmaēdiiāi.,hamaspaϑmaēdaiiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-37-37,#ms0005 #ms0006 #ms0008 #ms0015,,hamaspaϑmaēdaiiāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-37-37,#ms0006,maēidiiāi.,hamaspaϑmaēdaiiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-37-37,#ms0008,hamaspasmaēδiiāi.,hamaspaϑmaēdaiiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-37-37,#ms0015,hamaspaϑmaēdiiāi.,hamaspaϑmaēdaiiāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-44-44,#ms0006,,aṣ̌ahe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-44-44,#ms0006,e.,aṣ̌ahe.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-45-45,#ms0015,,ratubiiō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.9-45-45,#ms0015,ubiiō.,ratubiiō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-1-2,#ms0006,,haṇkāraiiemi. vīspaēibiiō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-1-2,#ms0006,haṇāraiiemi. vīspaēibii.,haṇkāraiiemi. vīspaēibiiō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-3-3,#ms0005 #ms0015,,aēibiiō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-3-3,#ms0015,biiō.,aēibiiō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-6-6,#ms0006,,həṇti.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-6-6,#ms0006,haṇti.,həṇti.,haṇti→həṇti,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-9-9,#ms0015,,ϑraiiasca.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-9-9,#ms0015,ϑrəiiasca.,ϑraiiasca.,ϑrəiiasca→ϑraiiasca,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-11-12,#ms0006,,nazdišta. pairiš.hāuuanaiiō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-11-12,#ms0006,nazdita. pairəš.hāuuanaiiō.,nazdišta. pairiš.hāuuanaiiō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-12-12,#ms0005 #ms0008 #ms0015,,pairiš.hāuuanaiiō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-12-12,#ms0008 #ms0015,hāuuanaiiō.,pairiš.hāuuanaiiō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-14-15,#ms0006,,həṇti. aṣ̌ahe.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-14-15,#ms0006,aṣ̌ah. haṇi.,həṇti. aṣ̌ahe.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-18-18,#ms0005 #ms0006 #ms0008 #ms0015,,mazdō.frasāsta.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-18-18,#ms0005 #ms0008 #ms0015,frasāsta.,mazdō.frasāsta.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.10-18-18,#ms0006,rasāsta.,mazdō.frasāsta.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.11-0-0,#ms0006,,ńiuuaēδaiiemi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
