ocr_word,manual_word,distance,address,Unnamed: 4,manuscript_id,the change,Leitfehler
frauuarāne,frauuarāne,0,"[{'id': 'Y0.9AV', 'index': 2}, {'id': 'Y0.10Frauuarane.a', 'index': 0}, {'id': 'Y0.10Frauuarane.a', 'index': 1}]",,5.0,,=
mazdaiiasnō,mazdaiiasnō,0,"[{'id': 'Y0.10Frauuarane.a', 'index': 2}]",,5.0,,=
zaraϑuštrəš,zaraϑuštrəm,1,"[{'id': 'Y0.10Frauuarane.a', 'index': 3}]",,5.0,š for m,?
vīdaēuuō,vīdaēuuō,0,"[{'id': 'Y0.10Frauuarane.a', 'index': 4}]",,5.0,,=
ahurat̰kaēšō,ahurat̰kaēšō,0,"[{'id': 'Y0.10Frauuarane.a', 'index': 5}]",,5.0,,=
hāuuanə̄e,hāuuanə̄e,0,"[{'id': 'Y0.10Frauuarane.a', 'index': 6}, {'id': 'Y0.10RatuFra', 'index': 0}]",,5.0,,=
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y0.10RatuFra', 'index': 1}]",,5.0,,=
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y0.10RatuFra', 'index': 2}]",,5.0,,=
raϑβe,raϑβe,0,"[{'id': 'Y0.10RatuFra', 'index': 3}]",,5.0,,=
yasnāica,yasnāica,0,"[{'id': 'Y0.10RatuFra', 'index': 4}]",,5.0,,=
vahmāica,vaɱāica,2,"[{'id': 'Y0.10RatuFra', 'index': 5}]",,5.0,hm for ɱ,?
xšnaōϑrāica,xšnaōϑrāica,0,"[{'id': 'Y0.10RatuFra', 'index': 6}]",,5.0,,=
frasastaiiaēca,frasastaiiaēca,0,"[{'id': 'Y0.10RatuFra', 'index': 7}]",,5.0,,=
sāuuaŋhə̄e,sāuuaŋhə̄e,0,"[{'id': 'Y0.10RatuFra', 'index': 8}]",,5.0,,=
vīsiiāica,vīsiiāica,0,"[{'id': 'Y0.10RatuFra', 'index': 9}]",,5.0,,=
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y0.10RatuFra', 'index': 10}, {'id': 'Y0.10RatuFra', 'index': 11}]",,5.0,,=
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y0.10RatuFra', 'index': 12}]",,5.0,,=
raϑβe,raϑβe,0,"[{'id': 'Y0.10RatuFra', 'index': 13}]",,5.0,,=
raϑβąm,raϑβąm,0,"[{'id': 'Y0.10RatuFra', 'index': 14}, {'id': 'Y0.10Frauuarane.b', 'index': 0}]",,5.0,,=
aiiaranąmca,aiiaranąmca,0,"[{'id': 'Y0.10Frauuarane.b', 'index': 1}]",,5.0,,=
asniianąmca,asńiianąmca,1,"[{'id': 'Y0.10Frauuarane.b', 'index': 2}]",,5.0,n for ń,1
māhiianąmca,māhiianąmca,0,"[{'id': 'Y0.10Frauuarane.b', 'index': 3}, {'id': 'Y0.10Frauuarane.b', 'index': 4}]",,5.0,,=
yāiriianąmca,yāiriianąmca,0,"[{'id': 'Y0.10Frauuarane.b', 'index': 5}]",,5.0,,=
sarəδanąmca,sarəδanąmca,0,"[{'id': 'Y0.10Frauuarane.b', 'index': 6}]",,5.0,,=
ahurahe,ahurahe,0,"[{'id': 'Y0.10Frauuarane.b', 'index': 7}, {'id': 'Y0.10ShnumanGen.a', 'index': 0}]",,5.0,,=
mazdā̊,mazdā̊,0,"[{'id': 'Y0.10ShnumanGen.a', 'index': 1}]",,5.0,,=
raēuuatō,raēuuatō,0,"[{'id': 'Y0.10ShnumanGen.a', 'index': 2}]",,5.0,,=
xᵛarənaŋᵛhatō,xᵛarənaŋᵛhatō,0,"[{'id': 'Y0.10ShnumanGen.a', 'index': 3}]",,5.0,,=
aməṣ̌anąm,aməṣ̌anąm,0,"[{'id': 'Y0.10ShnumanGen.a', 'index': 4}]",,5.0,,=
spəṇtanąm,spəṇtanąm,0,"[{'id': 'Y0.10ShnumanGen.a', 'index': 5}]",,5.0,,=
miϑrahe,miϑrahe,0,"[{'id': 'Y0.10ShnumanGen.a', 'index': 6}, {'id': 'Y0.10RatuShnumanGen', 'index': 0}, {'id': 'Y0.10RatuShnumanGen', 'index': 1}]",,5.0,,=
vourugaōiiaōitōiš,vourugaōiiaōtōiš,1,"[{'id': 'Y0.10RatuShnumanGen', 'index': 2}]",,5.0,i inserted,?
rāmanasca,rāmanasca,0,"[{'id': 'Y0.10RatuShnumanGen', 'index': 3}]",,5.0,,=
xᵛāstrahe,xᵛāstrahe,0,"[{'id': 'Y0.10RatuShnumanGen', 'index': 4}, {'id': 'Y0.10RatuShnumanGen', 'index': 5}]",,5.0,,=
huuarəxšaētahe,huuarəxšaētahe,0,"[{'id': 'Y0.10RatuShnumanGen', 'index': 6}, {'id': 'Y0.10ShnumanGen.b', 'index': 0}]",,5.0,,=
aməṣ̌ahe,aməṣ̌ahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 1}]",,5.0,,=
raēuuahe,raēuuahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 2}, {'id': 'Y0.10ShnumanGen.b', 'index': 3}]",,5.0,,=
auruuat̰aspahe,auruuat̰aspahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 4}]",,5.0,,=
vaiiaōš,vaiiaōš,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 5}]",,5.0,,=
uparōkairiiehe,uparōkairiiehe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 6}, {'id': 'Y0.10ShnumanGen.b', 'index': 7}]",,5.0,,=
taraδātō,taraδātō,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 8}]",,5.0,,=
ańiiāiš,ańiiāiš,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 9}]",,5.0,,=
dāmąn,dāmąn,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 10}]",,5.0,,=
aētat̰,aētat̰,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 11}]",,5.0,,=
tē,tē,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 12}]",,5.0,,=
vaiiō,vaiiō,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 13}]",,5.0,,=
yat̰,yat̰,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 14}]",,5.0,,=
tē,tē,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 15}]",,5.0,,=
asti,asti,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 16}]",,5.0,,=
spəṇtōmaińiiāum,spəṇtōmaińiiaōm,2,"[{'id': 'Y0.10ShnumanGen.b', 'index': 17}, {'id': 'Y0.10ShnumanGen.b', 'index': 18}]",,5.0,āu for aō,?
razištaiiā̊,razištaiiā̊,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 19}]",,5.0,,=
cistaiiā̊,cistaiiā̊,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 20}]",,5.0,,=
mazdaδātaiiā̊,mazdaδātaiiā̊,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 21}, {'id': 'Y0.10ShnumanGen.b', 'index': 22}]",,5.0,,=
aṣ̌aōnaiiā̊,aṣ̌aōńiiā̊,1,"[{'id': 'Y0.10ShnumanGen.b', 'index': 23}]",,5.0,naii for ńii,1
daēnaiiā̊,daēnaiiā̊,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 24}]",,5.0,,=
vaŋhuiiā̊,vaŋhuiiā̊,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 25}]",,5.0,,=
māzdaiiasnōiš,māzdaiiasnōiš,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 26}, {'id': 'Y0.10ShnumanGen.b', 'index': 27}]",,5.0,,=
mąϑrahe,mąϑrahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 28}]",,5.0,,=
spəṇtahe,spəṇtahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 29}]",,5.0,,=
spəṇtahe,spəṇtahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 30}, {'id': 'Y0.10ShnumanGen.b', 'index': 31}]",,5.0,,=
aṣ̌aōnō,aṣ̌aōnō,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 32}]",,5.0,,=
vərəziiaŋhahe,vərəziiaŋᵛhahe,1,"[{'id': 'Y0.10ShnumanGen.b', 'index': 33}]",,5.0,ŋ for ŋᵛ,r-b
dātahe,dātahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 34}]",,5.0,,=
vīdaēuuahe,vīdaēuuahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 35}, {'id': 'Y0.10ShnumanGen.b', 'index': 36}]",,5.0,,=
dātahe,dātahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 37}]",,5.0,,=
zaraϑuštrōiš,zaraϑuštrōiš,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 38}]",,5.0,,=
darəγaiiā̊,darəγaiiā̊,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 39}]",,5.0,,=
upaiianaiiā̊,upaiianaiiā̊,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 40}, {'id': 'Y0.10ShnumanGen.b', 'index': 41}]",,5.0,,=
daēnaiiā̊,daēnaiiā̊,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 42}]",,5.0,,=
vaŋhuiiā̊,vaŋhuiiā̊,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 43}]",,5.0,,=
māzdaiiasnōiš,māzdaiiasnōiš,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 44}]",,5.0,,=
zarazdātōiš,zrazdātōiš,1,"[{'id': 'Y0.10ShnumanGen.b', 'index': 45}]",,5.0,a inserted,?
mąϑrahe,mąϑrahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 46}]",,5.0,,=
spəṇtahe,spəṇtahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 47}]",,5.0,,=
ušidarəϑrəm,ušidarəϑrəm,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 48}, {'id': 'Y0.10ShnumanGen.b', 'index': 49}]",,5.0,,=
daēnaiiā̊,daēnaiiā̊,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 50}]",,5.0,,=
māzdaiiasnōiš,māzdaiiasnōiš,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 51}]",,5.0,,=
vīδīm,vaēδīm,1,"[{'id': 'Y0.10ShnumanGen.b', 'index': 52}]",,5.0,ī for aē,?
mąϑrahe,mąϑrahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 53}, {'id': 'Y0.10ShnumanGen.b', 'index': 54}]",,5.0,,=
spəṇtahe,spəṇtahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 55}]",,5.0,,=
āsnahe,āsnahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 56}]",,5.0,,=
xraϑβō,xraϑβō,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 57}]",,5.0,,=
mazdaδātahe,mazdaδātahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 58}, {'id': 'Y0.10ShnumanGen.b', 'index': 59}]",,5.0,,=
gaōšōsrītahe,gaōšōsrūtahe,1,"[{'id': 'Y0.10ShnumanGen.b', 'index': 60}]",,5.0,ī for ū,1
xraϑβō,xraϑβō,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 61}]",,5.0,,=
mazdaδātahe,mazdaδātahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 62}, {'id': 'Y0.10ShnumanGen.b', 'index': 63}]",,5.0,,=
āzrō,āϑrō,1,"[{'id': 'Y0.10ShnumanGen.b', 'index': 64}]",,5.0,z for ϑ,?
ahurahe,ahurahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 65}]",,5.0,,=
mazdā̊,mazdā̊,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 66}]",,5.0,,=
puϑra,puϑra,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 67}]",,5.0,,=
tauua,tauua,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 68}, {'id': 'Y0.10ShnumanGen.b', 'index': 69}]",,5.0,,=
ātarš,ātarš,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 70}]",,5.0,,=
puϑra,puϑra,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 71}]",,5.0,,=
ahurahe,ahurahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 72}]",,5.0,,=
mazdā̊,mazdā̊,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 73}]",,5.0,,=
mat̰,mat̰,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 74}]",,5.0,,=
vīspaēibiiō,vīspaēibiiō,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 75}, {'id': 'Y0.10ShnumanGen.b', 'index': 76}]",,5.0,,=
ātərəbiiō,ātərəbiiō,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 77}]",,5.0,,=
garōiš,garōiš,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 78}]",,5.0,,=
ušidarənahe,ušidarənahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 79}]",,5.0,,=
mazdaδātahe,mazdaδātahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 80}, {'id': 'Y0.10ShnumanGen.b', 'index': 81}]",,5.0,,=
aṣ̌axᵛāϑrahe,aṣ̌axᵛāϑrahe,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 82}]",,5.0,,=
vīspaēšąm,vīspaēšąm,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 83}]",,5.0,,=
yazatanąm,yazatanąm,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 84}]",,5.0,,=
aṣ̌aōnąm,aṣ̌aōnąm,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 85}]",,5.0,,=
maińiiauuanąm,maińiiauuanąm,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 86}]",,5.0,,=
gaiϑiianąm,gaēϑiianąm,1,"[{'id': 'Y0.10ShnumanGen.b', 'index': 87}, {'id': 'Y0.10ShnumanGen.b', 'index': 88}]",,5.0,ai for aē,?
aṣ̌aōnąm,aṣ̌aōnąm,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 89}]",,5.0,,=
frauuašanąm,frauuaṣ̌inąm,2,"[{'id': 'Y0.10ShnumanGen.b', 'index': 90}]",,5.0,"š for ṣ̌, a for i",2
uγranąm,uγranąm,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 91}]",,5.0,,=
aiβiϑīranąm,aiβiϑūranąm,1,"[{'id': 'Y0.10ShnumanGen.b', 'index': 92}]",,5.0,ī for ū,1
paōiriiōt̰kaēšanąm,paōiriiōt̰kaēšanąm,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 93}]",,5.0,,=
frauuašanąm,frauuaṣ̌inąm,2,"[{'id': 'Y0.10ShnumanGen.b', 'index': 94}, {'id': 'Y0.10ShnumanGen.b', 'index': 95}]",,5.0,"š for ṣ̌, a for i",2
nabānazdištanąm,nabānazdištanąm,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 96}]",,5.0,,=
frauuašanąm,frauuaṣ̌inąm,2,"[{'id': 'Y0.10ShnumanGen.b', 'index': 97}]",,5.0,"š for ṣ̌, a for i",2
xšnaōϑra,xšnaōϑra,0,"[{'id': 'Y0.10ShnumanGen.b', 'index': 98}, {'id': 'Y0.10Frauuarane.c', 'index': 0}, {'id': 'Y0.10Frauuarane.c', 'index': 1}]",,5.0,,=
yaϑā,yaϑā,0,"[{'id': 'Y0.10Frauuarane.c', 'index': 2}, {'id': 'Y0.10WazGr', 'index': 0}]",,5.0,,=
aṣ̌əm,aṣ̌əm,0,"[{'id': 'Y0.10WazGr', 'index': 1}, {'id': 'Y0.1AV', 'index': 0}]",,5.0,,=
vohī,vohū,1,"[{'id': 'Y0.1AV', 'index': 1}, {'id': 'Y0.1AV', 'index': 2}]",,5.0,ī for ū,1
aṣ̌əm,aṣ̌əm,0,"[{'id': 'Y0.1AV', 'index': 3}, {'id': 'Y0.2AV', 'index': 0}]",,5.0,,=
vohū,vohū,0,"[{'id': 'Y0.2AV', 'index': 1}, {'id': 'Y0.2AV', 'index': 2}]",,5.0,,=
frauuarāne,frauuarāne,0,"[{'id': 'Y0.2AV', 'index': 3}, {'id': 'Y0.3Frauuarane.a', 'index': 0}]",,5.0,,=
mazdaiiasnō,mazdaiiasnō,0,"[{'id': 'Y0.3Frauuarane.a', 'index': 1}]",,5.0,,=
zaraϑuštrəš,zaraϑuštriš,1,"[{'id': 'Y0.3Frauuarane.a', 'index': 2}, {'id': 'Y0.3Frauuarane.a', 'index': 3}]",,5.0,ə for i,1
vīdaēuuō,vīdaēuuō,0,"[{'id': 'Y0.3Frauuarane.a', 'index': 4}]",,5.0,,=
ahurat̰kaēšō,ahurat̰kaēšō,0,"[{'id': 'Y0.3Frauuarane.a', 'index': 5}]",,5.0,,=
hāuuanə̄e,hāuuanə̄e,0,"[{'id': 'Y0.3Frauuarane.a', 'index': 6}, {'id': 'Y0.3RatuFra', 'index': 0}, {'id': 'Y0.3RatuFra', 'index': 1}]",,5.0,,=
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y0.3RatuFra', 'index': 2}]",,5.0,,=
raϑβe,raϑβe,0,"[{'id': 'Y0.3RatuFra', 'index': 3}]",,5.0,,=
yasnāica,yasnāica,0,"[{'id': 'Y0.3RatuFra', 'index': 4}]",,5.0,,=
vahmāica,vaɱāica,1,"[{'id': 'Y0.3RatuFra', 'index': 5}, {'id': 'Y0.3RatuFra', 'index': 6}]",,5.0,hm for ɱ,?
xšnaōϑrāica,xšnaōϑrāica,0,"[{'id': 'Y0.3RatuFra', 'index': 7}]",,5.0,,=
frasastaiiaēca,frasastaiiaēca,0,"[{'id': 'Y0.3RatuFra', 'index': 8}]",,5.0,,=
sāuuaŋhə̄e,sāuuaŋhə̄e,0,"[{'id': 'Y0.3RatuFra', 'index': 9}, {'id': 'Y0.3RatuFra', 'index': 10}]",,5.0,,=
vīsiiāica,vīsiiāica,0,"[{'id': 'Y0.3RatuFra', 'index': 11}]",,5.0,,=
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y0.3RatuFra', 'index': 12}]",,5.0,,=
raϑβe,raϑβe,0,"[{'id': 'Y0.3RatuFra', 'index': 13}]",,5.0,,=
yasnāica,yasnāica,0,"[{'id': 'Y0.3RatuFra', 'index': 14}, {'id': 'Y0.3RatuFra', 'index': 15}]",,5.0,,=
ātrō,ātarō,1,"[{'id': 'Y0.3RatuFra', 'index': 16}, {'id': 'Y0.3FireDed', 'index': 0}]",,5.0,a deleted,?
ahurahe,ahurahe,0,"[{'id': 'Y0.3FireDed', 'index': 1}, {'id': 'Y0.3FireDed', 'index': 2}]",,5.0,,=
mazdā̊,mazdā̊,0,"[{'id': 'Y0.3FireDed', 'index': 3}]",,5.0,,=
puϑrahe,puϑrahe,0,"[{'id': 'Y0.3FireDed', 'index': 4}]",,5.0,,=
tauua,tauua,0,"[{'id': 'Y0.3FireDed', 'index': 5}]",,5.0,,=
ātarš,ātarš,0,"[{'id': 'Y0.3FireDed', 'index': 6}]",,5.0,,=
puϑra,puϑra,0,"[{'id': 'Y0.3FireDed', 'index': 7}]",,5.0,,=
ahurahe,ahurahe,0,"[{'id': 'Y0.3FireDed', 'index': 8}, {'id': 'Y0.3FireDed', 'index': 9}]",,5.0,,=
mazdā̊,mazdā̊,0,"[{'id': 'Y0.3FireDed', 'index': 10}]",,5.0,,=
xšnaōϑra,xšnaōϑra,0,"[{'id': 'Y0.3FireDed', 'index': 11}]",,5.0,,=
tauua,tauua,0,"[{'id': 'Y0.3FireDed', 'index': 12}, {'id': 'Y0.3FireDedF', 'index': 0}]",,5.0,,=
ātarš,ātarš,0,"[{'id': 'Y0.3FireDedF', 'index': 1}]",,5.0,,=
puϑra,puϑra,0,"[{'id': 'Y0.3FireDedF', 'index': 2}]",,5.0,,=
ahurahe,ahurahe,0,"[{'id': 'Y0.3FireDedF', 'index': 3}]",,5.0,,=
mazdā̊,mazdā̊,0,"[{'id': 'Y0.3FireDedF', 'index': 4}, {'id': 'Y0.3FireDedF', 'index': 5}]",,5.0,,=
xšnaōϑra,xšnaōϑra,0,"[{'id': 'Y0.3FireDedF', 'index': 6}]",,5.0,,=
yaϑā,yaϑā,0,"[{'id': 'Y0.3FireDedF', 'index': 7}, {'id': 'Y0.3WazGr', 'index': 0}]",,5.0,,=
ahī,ahū,0,"[{'id': 'Y0.3WazGr', 'index': 1}]",,5.0,ī for ū,1
vairiiō,vairiiō,0,"[{'id': 'Y0.3WazGr', 'index': 2}, {'id': 'Y0.3WazGr', 'index': 3}]",,5.0,,=
yō,yō,0,"[{'id': 'Y0.3WazGr', 'index': 4}]",,5.0,,=
zaōtā,zaōtā,0,"[{'id': 'Y0.3WazGr', 'index': 5}]",,5.0,,=
frāmē,frāmē,0,"[{'id': 'Y0.3WazGr', 'index': 6}]",,5.0,,=
mrīte,mrūtē,2,"[{'id': 'Y0.3WazGr', 'index': 7}]",,5.0,"ī for ū, e for ē",1
aϑā,aϑā,0,"[{'id': 'Y0.3WazGr', 'index': 8}, {'id': 'Y0.3WazGrM', 'index': 0}]",,5.0,,=
ratuš,ratuš,0,"[{'id': 'Y0.3WazGrM', 'index': 1}]",,5.0,,=
aṣ̌āt̰cit̰,aṣ̌āt̰cīt̰,1,"[{'id': 'Y0.3WazGrM', 'index': 2}]",,5.0,i for ī,1
haca,haca,0,"[{'id': 'Y0.3WazGrM', 'index': 3}]",,5.0,,=
frā,frā,0,"[{'id': 'Y0.3WazGrM', 'index': 4}]",,5.0,,=
aṣ̌auua,aṣ̌auua,0,"[{'id': 'Y0.3WazGrM', 'index': 5}]",,5.0,,=
vīδuuā̊,vīδuuā̊,0,"[{'id': 'Y0.3WazGrM', 'index': 6}]",,5.0,,=
mraōtī,mraōtū,1,"[{'id': 'Y0.3WazGrM', 'index': 7}]",,5.0,ī for ū,1
yaϑā,yaϑā,0,"[{'id': 'Y0.3WazGrM', 'index': 8}, {'id': 'Y0.3WazGrM2', 'index': 0}]",,5.0,,=
ahī,ahū,0,"[{'id': 'Y0.3WazGrM2', 'index': 1}]",,5.0,ī for ū,1
