generated,reference,distance,changes,features_comment,features_documented,address
vōurugaōiiaōitōiš,vourugaōiiaōtōiš,2,"ō to ou, u inserted, i inserted","u inserted epenthetically, e.g., ŋuh for ŋᵛh.",True,"[{'id': 'Y0.10RatuShnumanGen', 'index': 1}, {'id': 'Y0.10RatuShnumanGen', 'index': 2}]"
rāmanasca,rāmanasca,0,,,,"[{'id': 'Y0.10RatuShnumanGen', 'index': 3}]"
xᵛāstrahe,xᵛāstrahe,0,,,,"[{'id': 'Y0.10RatuShnumanGen', 'index': 4}, {'id': 'Y0.10RatuShnumanGen', 'index': 5}]"
huuarəšaētahe,huuarəxšaētahe,1,x deleted,,False,"[{'id': 'Y0.10RatuShnumanGen', 'index': 6}, {'id': 'Y0.10ShnumanGen.b', 'index': 0}]"
aməšahe,aməṣ̌ahe,1,š to ṣ̌,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 1}]"
raēuuahe,raēuuahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 2}]"
auruuat̰aspahe,auruuat̰aspahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 3}]"
vaiiaōiš,vaiiaōš,1,i inserted,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 4}, {'id': 'Y0.10ShnumanGen.b', 'index': 5}]"
uparōkairiiehe,uparōkairiiehe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 6}]"
ttraδātō,taraδātō,1,t to a,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 7}, {'id': 'Y0.10ShnumanGen.b', 'index': 8}]"
ttaraδātō,taraδātō,1,t inserted,[UNSUPPORTED] Not a standalone pattern.,True,"[{'id': 'Y0.10ShnumanGen.b', 'index': 9}, {'id': 'Y0.10ShnumanGen.b', 'index': 10}]"
ttraδātō,taraδātō,1,t to a,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 11}]"
ttararδātō,taraδātō,2,"t inserted, r inserted",[UNSUPPORTED] Not documented as general insertion pattern.,True,"[{'id': 'Y0.10ShnumanGen.b', 'index': 12}]"
ańiiāiš,ańiiāiš,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 13}]"
dāmąn,dāmąn,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 14}]"
aētat̰,aētat̰,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 15}]"
tē,tē,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 16}]"
vaiiō,vaiiō,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 17}]"
yat̰,yat̰,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 18}]"
tē,tē,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 19}]"
asti,asti,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 20}]"
spəṇtōm,spəṇtəm,1,ō to ə,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 21}]"
aińiiō,ańiiō,1,ai to a,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 22}]"
razištaiiā̊,razištaiiā̊,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 23}]"
cistaiiā̊,cistaiiā̊,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 24}]"
mazdaδātiiā̊,mazdaδātaiiā̊,1,"ii to ai, i deleted",,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 24.5}]"
aṣ̌aōnaiiā̊,aṣ̌aōńiiā̊,1,"n to ń, ai to ii, i inserted",,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 25}]"
daēnaiiā̊,daēnaiiā̊,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 26}, {'id': 'Y0.10ShnumanGen.b', 'index': 27}]"
vaŋhuiiā̊,vaŋhuiiā̊,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 28}]"
māzdiiasnōiš,māzdaiiasnōiš,1,"ii to ai, i deleted",,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 29}]"
mąϑrahe,mąϑrahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 30}, {'id': 'Y0.10ShnumanGen.b', 'index': 31}]"
spəṇtahe,spəṇtahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 32}]"
aṣ̌aōnō,aṣ̌aōnō,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 33}]"
vərəziiaŋahe,vərəziiaŋᵛhahe,1,"ŋ to ŋᵛ, h deleted",,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 34}]"
dātahe,dātahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 36}]"
vīdaēuuahe,vīdaēuuahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 37}]"
dātahe,dātahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 38}, {'id': 'Y0.10ShnumanGen.b', 'index': 39}]"
zaraϑuštrōiš,zaraϑuštrōiš,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 40}]"
darəγaiiā̊,darəγaiiā̊,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 41}]"
upaiianaiiā̊,upaiianaiiā̊,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 42}, {'id': 'Y0.10ShnumanGen.b', 'index': 43}]"
daēnaiiā̊,daēnaiiā̊,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 44}]"
vaŋhuiiā̊,vaŋhuiiā̊,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 45}]"
māzdaiiasnōiš,māzdaiiasnōiš,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 46}, {'id': 'Y0.10ShnumanGen.b', 'index': 47}]"
zarazdātōiš,zrazdātōiš,1,a inserted,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 48}]"
mąϑrahe,mąϑrahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 49}, {'id': 'Y0.10ShnumanGen.b', 'index': 50}]"
spəṇtahe,spəṇtahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 51}]"
ušidarəϑrəm,ušidarəϑrəm,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 52}]"
daēnaiiā,daēnaiiā,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 53}]"
māzdaiiasnōiš,māzdaiiasnōiš,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 54}]"
vīδīm,vaēδīm,1,ī to aē,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 55}]"
mąϑrahe,mąϑrahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 57}]"
spəṇtahe,spəṇtahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 58}]"
āsnahe,āsnahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 59}, {'id': 'Y0.10ShnumanGen.b', 'index': 60}]"
xraϑβō,xraϑβō,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 61}]"
mazdaδātahe,mazdaδātahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 62}]"
gaōšōsrītahe,gaōšōsrūtahe,2,ī to ū,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 63}]"
xraϑβō,xraϑβō,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 64}]"
mazda,mazda,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 65}]"
dātahe,dātahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 66}]"
āϑrō,āϑrō,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 67}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 68}]"
mazdā,mazdā,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 69}]"
puϑra,puϑra,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 70}]"
taua,tauua,1,u deleted,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 71}]"
ātarš,ātarš,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 72}]"
puϑra,puϑra,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 73}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 74}, {'id': 'Y0.10ShnumanGen.b', 'index': 75}]"
mazdā̊,mazdā̊,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 76}]"
mat̰,mat̰,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 77}]"
vīspaēibiiō,vīspaēibiiō,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 78}, {'id': 'Y0.10ShnumanGen.b', 'index': 79}]"
ātərəbiiō,ātərəbiiō,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 80}]"
garōibiš,garōbīš,2,"ōi to ō, i to ī",,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 81}]"
ušidarənahe,ušidarənahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 82}, {'id': 'Y0.10ShnumanGen.b', 'index': 83}]"
madaδātahe,mazdaδātahe,1,z deleted,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 84}]"
mazdaδātahe,mazdaδātahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 85}]"
madaδātahe,mazdaδātahe,1,z deleted,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 86}]"
mazdaδātahe,mazdaδātahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 87}]"
aṣ̌axᵛāϑrahe,aṣ̌axᵛāϑrahe,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 88}, {'id': 'Y0.10ShnumanGen.b', 'index': 89}]"
vīspaēšąm,vīspaēšąm,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 90}]"
yazatanąm,yazatanąm,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 91}, {'id': 'Y0.10ShnumanGen.b', 'index': 92}]"
aṣ̌aōnąm,aṣ̌aōnąm,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 93}]"
maińiiauuanąm,maińiiauuanąm,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 94}]"
gaēϑiianąm,gaēϑiianąm,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 94.5}]"
aṣ̌aōnąm,aṣ̌aōnąm,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 95}]"
frauuašanąm,frauuaṣ̌inąm,2,"š to ṣ̌, a to i",,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 96}, {'id': 'Y0.10ShnumanGen.b', 'index': 97}]"
uγranąm,uγranąm,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 98}]"
aiβiϑīranąm,aiβiϑūranąm,1,ī to ū,,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 99}]"
paōiriiōt̰kaēšanąm,paōiriiōt̰kaēšanąm,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 100}, {'id': 'Y0.10ShnumanGen.b', 'index': 101}]"
frauuašanąm,frauuaṣ̌inąm,2,"š to ṣ̌, a to i",,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 102}]"
nabānazdištanąm,nabānazdištanąm,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 103}]"
frauuašanąm,frauuaṣ̌inąm,2,"š to ṣ̌, a to i",,False,"[{'id': 'Y0.10ShnumanGen.b', 'index': 104}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y0.10ShnumanGen.b', 'index': 105}, {'id': 'Y0.10WazGr', 'index': 0}]"
ahī,ahū,0,ī to ū,,False,"[{'id': 'Y0.10WazGr', 'index': 1}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y0.10WazGr', 'index': 2}, {'id': 'Y0.10WazGr', 'index': 3}]"
zaōtā,zaōtā,0,,,,"[{'id': 'Y0.10WazGr', 'index': 7}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y0.10WazGr', 'index': 8}]"
ahī,ahū,0,ī to ū,,False,"[{'id': 'Y0.10WazGr', 'index': 9}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y0.10WazGr', 'index': 10}]"
yō,yō,0,,,,"[{'id': 'Y0.10WazGr', 'index': 11}]"
zaōtā,zaōtā,0,,,,"[{'id': 'Y0.10WazGr', 'index': 12}]"
aϑā,aϑā,0,,,,"[{'id': 'Y0.10WazGr', 'index': 13}]"
ratuš,ratuš,0,,,,"[{'id': 'Y0.10WazGr', 'index': 14}, {'id': 'Y0.10WazGr', 'index': 15}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y0.10WazGr', 'index': 16}, {'id': 'Y0.11AV', 'index': 0}]"
vohī,vohū,1,ī to ū,,False,"[{'id': 'Y0.11AV', 'index': 1}]"
xšnōϑra,xšnaōϑra,1,ō to aō,,False,"[{'id': 'Y0.11AV', 'index': 2}, {'id': 'Y0.12a', 'index': 0}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.12a', 'index': 1}]"
mazdā̊,mazdā̊,0,,,,"[{'id': 'Y0.12a', 'index': 2}]"
tarōdaētīa,tarōidīti,2,"ō to ōi, aē to ī, ī to i, a inserted",,False,"[{'id': 'Y0.12a', 'index': 3}, {'id': 'Y0.12a', 'index': 4}]"
aŋrahe,aŋhrahe,1,h deleted,,False,"[{'id': 'Y0.12a', 'index': 5}]"
maińiiə̄uš,maińiiə̄uš,0,,,,"[{'id': 'Y0.12a', 'index': 6}]"
haiϑiiā,haiϑiiā,0,,,,"[{'id': 'Y0.12a', 'index': 7}]"
varštąm,varəštąm,1,ə deleted,"Vowel syncope: loss of short ə, especially before semivowels.",True,"[{'id': 'Y0.12a', 'index': 8}, {'id': 'Y0.12a', 'index': 9}]"
hiiat̰,hiiat̰,0,,,,"[{'id': 'Y0.12a', 'index': 10}]"
vasnā,vasnā,0,,,,"[{'id': 'Y0.12a', 'index': 11}]"
frašōtəməm,fərašōtəməm,1,ə deleted,"Vowel syncope: loss of short ə, especially before semivowels.",True,"[{'id': 'Y0.12a', 'index': 12}, {'id': 'Y0.12a', 'index': 13}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y0.12a', 'index': 14}, {'id': 'Y0.13AV', 'index': 0}]"
vohī,vohū,1,ī to ū,,False,"[{'id': 'Y0.13AV', 'index': 1}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y0.14YAV', 'index': 0}]"
ahīvairiiō,ahīvairiiō,0,,,,"[{'id': 'Y0.14YAV', 'index': 1}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,,,,"[{'id': 'Y0.14YAV', 'index': 2}, {'id': 'Y1.1a', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,,,,"[{'id': 'Y1.1a', 'index': 2}]"
daϑušō,daϑušō,0,,,,"[{'id': 'Y1.1a', 'index': 3}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y1.1a', 'index': 4}]"
mazdā̊,mazdā̊,0,,,,"[{'id': 'Y1.1a', 'index': 5}]"
raēuuatō,raēuuatō,0,,,,"[{'id': 'Y1.1a', 'index': 6}]"
xᵛarənaŋhatō,xᵛarənaŋᵛhatō,1,ŋ to ŋᵛ,,False,"[{'id': 'Y1.1a', 'index': 7}]"
mazištaheca,mazištaheca,0,,,,"[{'id': 'Y1.1a', 'index': 8}, {'id': 'Y1.1a', 'index': 9}]"
vahištaheca,vahištaheca,0,,,,"[{'id': 'Y1.1a', 'index': 10}]"
sraēštaheca,sraēštaheca,0,,,,"[{'id': 'Y1.1a', 'index': 11}]"
xraōžδištaheca,xraōždištaheca,1,δ to d,,False,"[{'id': 'Y1.1a', 'index': 12}, {'id': 'Y1.1b', 'index': 0}, {'id': 'Y1.1b', 'index': 1}]"
xraϑβištaheca,xraϑβištaheca,0,,,,"[{'id': 'Y1.1b', 'index': 2}]"
hukərəptəmaheca,hukərəptəmaheca,0,,,,"[{'id': 'Y1.1b', 'index': 3}, {'id': 'Y1.1b', 'index': 4}]"
aṣ̌āt̰,aṣ̌āt̰,0,,,,"[{'id': 'Y1.1b', 'index': 5}]"
apanōtəmaheca,apanōtəmaheca,0,,,,"[{'id': 'Y1.1b', 'index': 6}, {'id': 'Y1.1b', 'index': 7}]"
huδāmanō,huδāmanō,0,,,,"[{'id': 'Y1.1b', 'index': 8}, {'id': 'Y1.1c', 'index': 0}]"
vurārafnaŋhō,voururafnaŋhō,2,"u to ou, ā to u",,False,"[{'id': 'Y1.1c', 'index': 1}]"
yōnō,yōnō,0,,,,"[{'id': 'Y1.1d', 'index': 0}, {'id': 'Y1.1d', 'index': 1}]"
dada,dadē,1,a to ē,,False,"[{'id': 'Y1.1d', 'index': 2}]"
yō,yō,0,,,,"[{'id': 'Y1.1d', 'index': 3}]"
tataša,tataša,0,,,,"[{'id': 'Y1.1d', 'index': 4}]"
yō,yō,0,,,,"[{'id': 'Y1.1d', 'index': 5}]"
tuϑruiiē,tuϑruiiē,0,,,,"[{'id': 'Y1.1d', 'index': 6}]"
yō,yō,0,,,,"[{'id': 'Y1.1d', 'index': 7}]"
maińiiuš,maińiiuš,0,,,,"[{'id': 'Y1.1d', 'index': 8}]"
spəṇtōtəmō,spəṇtōtəmō,2,,,,"[{'id': 'Y1.1d', 'index': 9}, {'id': 'Y1.1d', 'index': 10}]"
vaŋhauue,vaŋhauue,0,,,,"[{'id': 'Y1.1d', 'index': 11}, {'id': 'Y1.2a', 'index': 0}]"
manaŋhe,manaŋhe,0,,,,"[{'id': 'Y1.2a', 'index': 1}, {'id': 'Y1.2a', 'index': 2}]"
aṣ̌āi,aṣ̌āi,0,,,,"[{'id': 'Y1.2a', 'index': 3}]"
vahištāi,vahištāi,0,,,,"[{'id': 'Y1.2a', 'index': 4}]"
xšatrāi,xšaϑrāi,1,t to ϑ,,False,"[{'id': 'Y1.2a', 'index': 5}]"
vairiiāi,vairiiāi,0,,,,"[{'id': 'Y1.2a', 'index': 6}]"
spəṇtaiiāi,spəṇtaiiāi,2,,,,"[{'id': 'Y1.2a', 'index': 7}]"
urmaitə̄i,ārmatə̄e,2,"u to ā, ai to a, i to e",,False,"[{'id': 'Y1.2a', 'index': 8}]"
hauruuat̰biia,hauruuat̰biia,0,,,,"[{'id': 'Y1.2a', 'index': 10}]"
amərətat̰biia,amərətat̰biia,0,,,,"[{'id': 'Y1.2a', 'index': 11}, {'id': 'Y1.2a', 'index': 12}]"
gə̄uš,gə̄uš,0,,,,"[{'id': 'Y1.2a', 'index': 13}, {'id': 'Y1.2b', 'index': 0}]"
